TOTAL PROFILED TIME: 36188.2s
total calls: 12229475191

Thu Aug 27 23:29:06 2026    results/experiments/E1_k1_v31/k1_v31_final.prof
       42    0.000    0.000    0.000    0.000 step12_branch_price.py:13597(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:9866(_energy_of_selection_interval)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:208(_validate_anytime_public_contract)
      123    0.000    0.000    0.000    0.000 step12_branch_price.py:11558(<genexpr>)
      576    0.000    0.000    0.000    0.000 step12_branch_price.py:9108(<genexpr>)
      525    0.000    0.000    0.000    0.000 step12_branch_price.py:14152(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6433(StageSearchResult)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:15501(_materialize_seed_columns)
       55    0.000    0.000    0.000    0.000 step12_branch_price.py:140(_finite_number)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:9631(_future_row_range_contract_self_check)
      196    0.000    0.000    0.000    0.000 step12_branch_price.py:6830(<genexpr>)
      140    0.000    0.000    0.000    0.000 step12_branch_price.py:11214(<genexpr>)
      196    0.000    0.000    0.000    0.000 step12_branch_price.py:9450(<lambda>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6301(PricingSearchResult)
      140    0.000    0.000    0.000    0.000 step12_branch_price.py:7902(<genexpr>)
      121    0.000    0.000    0.000    0.000 step12_branch_price.py:13240(<genexpr>)
       10    0.000    0.000    0.000    0.000 step12_branch_price.py:155(_nonnegative_int)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:9838(_fraction_to_float_down)
        6    0.000    0.000    0.000    0.000 step12_branch_price.py:17146(_sum_depth_dict)
       21    0.000    0.000    0.000    0.000 step12_branch_price.py:7657(<genexpr>)
       47    0.000    0.000    0.000    0.000 step12_branch_price.py:6966(<genexpr>)
       42    0.000    0.000    0.000    0.000 step12_branch_price.py:13610(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:170(_normalize_solver_mode)
       24    0.000    0.000    0.000    0.000 step12_branch_price.py:5903(<lambda>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:15468(_classify_anytime_status)
       40    0.000    0.000    0.000    0.000 step12_branch_price.py:7894(<genexpr>)
       39    0.000    0.000    0.000    0.000 step12_branch_price.py:9424(<lambda>)
       40    0.000    0.000    0.000    0.000 step12_branch_price.py:7896(<genexpr>)
        8    0.000    0.000    0.000    0.000 step12_branch_price.py:8320(_v30_register_route_space_complete)
       19    0.000    0.000    0.000    0.000 step12_branch_price.py:7823(<genexpr>)
        5    0.000    0.000    0.000    0.000 step12_branch_price.py:17403(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6666(CertifiedRouteUniverse)
        8    0.000    0.000    0.000    0.000 step12_branch_price.py:7642(<genexpr>)
        7    0.000    0.000    0.000    0.000 step12_branch_price.py:13115(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6292(BranchPriceNode)
        5    0.000    0.000    0.000    0.000 step12_branch_price.py:14104(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6414(RestrictedMasterResult)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:6280(BranchState)
       20    0.000    0.000    0.000    0.000 step12_branch_price.py:7924(<genexpr>)
       14    0.000    0.000    0.000    0.000 step12_branch_price.py:14196(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:186(_normalize_exact_rmp_solver)
        8    0.000    0.000    0.000    0.000 step12_branch_price.py:7841(<lambda>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:1297(_Label)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:1168(_WxCache)
        2    0.000    0.000    0.000    0.000 step12_branch_price.py:9670(_physical_certificate_guard)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:8309(_V30PhysicalPricingCache)
        2    0.000    0.000    0.000    0.000 step12_branch_price.py:17092(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:15451(_is_explicit_time_limit)
        2    0.000    0.000    0.000    0.000 step12_branch_price.py:17100(<genexpr>)
        1    0.000    0.000    0.000    0.000 step12_branch_price.py:15973(<genexpr>)


